LAT,LON,PRECTOTCORR,DATE
32.5,-115.0,0.0,2020-06-01
32.5,-114.375,0.0,2020-06-01
33.0,-119.375,0.0,2020-06-01
33.0,-118.75,0.0,2020-06-01
33.0,-118.125,0.0,2020-06-01
33.0,-117.5,0.0,2020-06-01
33.0,-116.875,0.0,2020-06-01
33.0,-116.25,0.0,2020-06-01
33.0,-115.625,0.0,2020-06-01
33.0,-115.0,0.0,2020-06-01
33.0,-114.375,0.0,2020-06-01
33.5,-119.375,0.0,2020-06-01
33.5,-118.75,0.0,2020-06-01
33.5,-118.125,0.0,2020-06-01
33.5,-117.5,0.0,2020-06-01
33.5,-116.875,0.0,2020-06-01
33.5,-116.25,0.0,2020-06-01
33.5,-115.625,0.0,2020-06-01
33.5,-115.0,0.0,2020-06-01
33.5,-114.375,0.0,2020-06-01
34.0,-119.375,0.0,2020-06-01
34.0,-118.75,0.0,2020-06-01
34.0,-118.125,0.0,2020-06-01
34.0,-117.5,0.0,2020-06-01
34.0,-116.875,0.0,2020-06-01
34.0,-116.25,0.0,2020-06-01
34.0,-115.625,0.0,2020-06-01
34.0,-115.0,0.0,2020-06-01
34.0,-114.375,0.0,2020-06-01
34.5,-119.375,0.0,2020-06-01
34.5,-118.75,0.0,2020-06-01
34.5,-118.125,0.0,2020-06-01
34.5,-117.5,0.0,2020-06-01
34.5,-116.875,0.0,2020-06-01
34.5,-116.25,0.0,2020-06-01
34.5,-115.625,0.0,2020-06-01
34.5,-115.0,0.0,2020-06-01
34.5,-114.375,0.0,2020-06-01
35.0,-119.375,0.0,2020-06-01
35.0,-118.75,0.0,2020-06-01
35.0,-118.125,0.0,2020-06-01
35.0,-117.5,0.0,2020-06-01
35.0,-116.875,0.0,2020-06-01
35.0,-116.25,0.0,2020-06-01
35.0,-115.625,0.0,2020-06-01
35.0,-115.0,0.0,2020-06-01
35.0,-114.375,0.0,2020-06-01
35.5,-119.375,0.0,2020-06-01
35.5,-118.75,0.0,2020-06-01
35.5,-118.125,0.0,2020-06-01
35.5,-117.5,0.0,2020-06-01
35.5,-116.875,0.0,2020-06-01
35.5,-116.25,0.0,2020-06-01
35.5,-115.625,0.0,2020-06-01
35.5,-115.0,0.0,2020-06-01
35.5,-114.375,0.0,2020-06-01
36.0,-119.375,0.0,2020-06-01
36.0,-118.75,0.0,2020-06-01
36.0,-118.125,0.0,2020-06-01
36.0,-117.5,0.0,2020-06-01
36.0,-116.875,0.0,2020-06-01
36.0,-116.25,0.0,2020-06-01
36.0,-115.625,0.0,2020-06-01
36.0,-115.0,0.0,2020-06-01
36.0,-114.375,0.0,2020-06-01
36.5,-119.375,0.0,2020-06-01
36.5,-118.75,0.0,2020-06-01
36.5,-118.125,0.0,2020-06-01
36.5,-117.5,0.0,2020-06-01
36.5,-116.875,0.0,2020-06-01
36.5,-116.25,0.0,2020-06-01
36.5,-115.625,0.0,2020-06-01
36.5,-115.0,0.0,2020-06-01
36.5,-114.375,0.0,2020-06-01
37.0,-119.375,0.02,2020-06-01
37.0,-118.75,0.02,2020-06-01
37.0,-118.125,0.0,2020-06-01
37.0,-117.5,0.0,2020-06-01
37.0,-116.875,0.0,2020-06-01
37.0,-116.25,0.0,2020-06-01
37.0,-115.625,0.0,2020-06-01
37.0,-115.0,0.0,2020-06-01
37.0,-114.375,0.0,2020-06-01
37.5,-119.375,0.03,2020-06-01
37.5,-118.75,0.01,2020-06-01
37.5,-118.125,0.0,2020-06-01
37.5,-117.5,0.0,2020-06-01
37.5,-116.875,0.0,2020-06-01
37.5,-116.25,0.0,2020-06-01
37.5,-115.625,0.0,2020-06-01
37.5,-115.0,0.0,2020-06-01
37.5,-114.375,0.0,2020-06-01
38.0,-119.375,0.01,2020-06-01
38.0,-118.75,0.03,2020-06-01
38.0,-118.125,0.0,2020-06-01
38.0,-117.5,0.0,2020-06-01
38.0,-116.875,0.0,2020-06-01
38.0,-116.25,0.0,2020-06-01
38.0,-115.625,0.0,2020-06-01
38.0,-115.0,0.0,2020-06-01
38.0,-114.375,0.0,2020-06-01
38.5,-119.375,0.05,2020-06-01
38.5,-118.75,0.04,2020-06-01
38.5,-118.125,0.0,2020-06-01
38.5,-117.5,0.0,2020-06-01
38.5,-116.875,0.0,2020-06-01
38.5,-116.25,0.0,2020-06-01
38.5,-115.625,0.0,2020-06-01
38.5,-115.0,0.0,2020-06-01
38.5,-114.375,0.0,2020-06-01
39.0,-119.375,0.12,2020-06-01
39.0,-118.75,0.29,2020-06-01
39.0,-118.125,0.0,2020-06-01
39.0,-117.5,0.0,2020-06-01
39.0,-116.875,0.0,2020-06-01
39.0,-116.25,0.0,2020-06-01
39.0,-115.625,0.0,2020-06-01
39.0,-115.0,0.0,2020-06-01
39.0,-114.375,0.0,2020-06-01
39.5,-119.375,0.17,2020-06-01
39.5,-118.75,0.22,2020-06-01
39.5,-118.125,0.0,2020-06-01
39.5,-117.5,0.0,2020-06-01
39.5,-116.875,0.0,2020-06-01
39.5,-116.25,0.0,2020-06-01
39.5,-115.625,0.0,2020-06-01
39.5,-115.0,0.0,2020-06-01
39.5,-114.375,0.0,2020-06-01
40.0,-119.375,0.19,2020-06-01
40.0,-118.75,0.14,2020-06-01
40.0,-118.125,0.0,2020-06-01
40.0,-117.5,0.0,2020-06-01
40.0,-116.875,0.0,2020-06-01
40.0,-116.25,0.0,2020-06-01
40.0,-115.625,0.0,2020-06-01
40.0,-115.0,0.0,2020-06-01
40.0,-114.375,0.0,2020-06-01
40.5,-119.375,0.21,2020-06-01
40.5,-118.75,0.16,2020-06-01
40.5,-118.125,0.05,2020-06-01
40.5,-117.5,0.0,2020-06-01
40.5,-116.875,0.0,2020-06-01
40.5,-116.25,0.0,2020-06-01
40.5,-115.625,0.0,2020-06-01
40.5,-115.0,0.0,2020-06-01
40.5,-114.375,0.0,2020-06-01
41.0,-119.375,0.51,2020-06-01
41.0,-118.75,0.5,2020-06-01
41.0,-118.125,0.17,2020-06-01
41.0,-117.5,0.0,2020-06-01
41.0,-116.875,0.0,2020-06-01
41.0,-116.25,0.0,2020-06-01
41.0,-115.625,0.0,2020-06-01
41.0,-115.0,0.0,2020-06-01
41.0,-114.375,0.0,2020-06-01
41.5,-119.375,0.81,2020-06-01
41.5,-118.75,0.72,2020-06-01
41.5,-118.125,0.19,2020-06-01
41.5,-117.5,0.04,2020-06-01
41.5,-116.875,0.05,2020-06-01
41.5,-116.25,0.01,2020-06-01
41.5,-115.625,0.0,2020-06-01
41.5,-115.0,0.03,2020-06-01
41.5,-114.375,0.0,2020-06-01
42.0,-119.375,0.83,2020-06-01
42.0,-118.75,1.2,2020-06-01
42.0,-118.125,0.14,2020-06-01
42.0,-117.5,0.2,2020-06-01
42.0,-116.875,0.38,2020-06-01
42.0,-116.25,0.24,2020-06-01
42.0,-115.625,0.13,2020-06-01
42.0,-115.0,0.07,2020-06-01
42.0,-114.375,0.0,2020-06-01
32.5,-124.375,0.36,2020-06-02
32.5,-123.75,0.23,2020-06-02
32.5,-123.125,0.07,2020-06-02
32.5,-122.5,0.05,2020-06-02
32.5,-121.875,0.05,2020-06-02
32.5,-121.25,0.03,2020-06-02
32.5,-120.625,0.0,2020-06-02
32.5,-120.0,0.0,2020-06-02
33.0,-124.375,0.29,2020-06-02
33.0,-123.75,0.21,2020-06-02
33.0,-123.125,0.06,2020-06-02
33.0,-122.5,0.01,2020-06-02
33.0,-121.875,0.01,2020-06-02
33.0,-121.25,0.0,2020-06-02
33.0,-120.625,0.0,2020-06-02
33.0,-120.0,0.0,2020-06-02
33.5,-124.375,0.21,2020-06-02
33.5,-123.75,0.18,2020-06-02
33.5,-123.125,0.06,2020-06-02
33.5,-122.5,0.0,2020-06-02
33.5,-121.875,0.0,2020-06-02
33.5,-121.25,0.0,2020-06-02
33.5,-120.625,0.01,2020-06-02
33.5,-120.0,0.0,2020-06-02
34.0,-124.375,0.12,2020-06-02
34.0,-123.75,0.15,2020-06-02
34.0,-123.125,0.05,2020-06-02
34.0,-122.5,0.0,2020-06-02
34.0,-121.875,0.0,2020-06-02
34.0,-121.25,0.0,2020-06-02
34.0,-120.625,0.01,2020-06-02
34.0,-120.0,0.03,2020-06-02
34.5,-124.375,0.07,2020-06-02
34.5,-123.75,0.06,2020-06-02
34.5,-123.125,0.02,2020-06-02
34.5,-122.5,0.0,2020-06-02
34.5,-121.875,0.01,2020-06-02
34.5,-121.25,0.0,2020-06-02
34.5,-120.625,0.0,2020-06-02
34.5,-120.0,0.01,2020-06-02
35.0,-124.375,0.05,2020-06-02
35.0,-123.75,0.02,2020-06-02
35.0,-123.125,0.0,2020-06-02
35.0,-122.5,0.0,2020-06-02
35.0,-121.875,0.0,2020-06-02
35.0,-121.25,0.0,2020-06-02
35.0,-120.625,0.0,2020-06-02
35.0,-120.0,0.0,2020-06-02
35.5,-124.375,0.02,2020-06-02
35.5,-123.75,0.0,2020-06-02
35.5,-123.125,0.0,2020-06-02
35.5,-122.5,0.01,2020-06-02
35.5,-121.875,0.0,2020-06-02
35.5,-121.25,0.0,2020-06-02
35.5,-120.625,0.0,2020-06-02
35.5,-120.0,0.0,2020-06-02
36.0,-124.375,0.0,2020-06-02
36.0,-123.75,0.0,2020-06-02
36.0,-123.125,0.01,2020-06-02
36.0,-122.5,0.02,2020-06-02
36.0,-121.875,0.01,2020-06-02
36.0,-121.25,0.03,2020-06-02
36.0,-120.625,0.0,2020-06-02
36.0,-120.0,0.0,2020-06-02
36.5,-124.375,0.0,2020-06-02
36.5,-123.75,0.01,2020-06-02
36.5,-123.125,0.04,2020-06-02
36.5,-122.5,0.02,2020-06-02
36.5,-121.875,0.13,2020-06-02
36.5,-121.25,0.02,2020-06-02
36.5,-120.625,0.0,2020-06-02
36.5,-120.0,0.0,2020-06-02
37.0,-124.375,0.0,2020-06-02
37.0,-123.75,0.06,2020-06-02
37.0,-123.125,0.24,2020-06-02
37.0,-122.5,0.39,2020-06-02
37.0,-121.875,0.12,2020-06-02
37.0,-121.25,0.0,2020-06-02
37.0,-120.625,0.0,2020-06-02
37.0,-120.0,0.0,2020-06-02
37.5,-124.375,0.01,2020-06-02
37.5,-123.75,0.11,2020-06-02
37.5,-123.125,0.25,2020-06-02
37.5,-122.5,0.12,2020-06-02
37.5,-121.875,0.02,2020-06-02
37.5,-121.25,0.0,2020-06-02
37.5,-120.625,0.0,2020-06-02
37.5,-120.0,0.0,2020-06-02
38.0,-124.375,0.0,2020-06-02
38.0,-123.75,0.01,2020-06-02
38.0,-123.125,0.08,2020-06-02
38.0,-122.5,0.06,2020-06-02
38.0,-121.875,0.0,2020-06-02
38.0,-121.25,0.0,2020-06-02
38.0,-120.625,0.0,2020-06-02
38.0,-120.0,0.0,2020-06-02
38.5,-124.375,0.0,2020-06-02
38.5,-123.75,0.0,2020-06-02
38.5,-123.125,0.0,2020-06-02
38.5,-122.5,0.0,2020-06-02
38.5,-121.875,0.0,2020-06-02
38.5,-121.25,0.01,2020-06-02
38.5,-120.625,0.04,2020-06-02
38.5,-120.0,0.02,2020-06-02
39.0,-124.375,0.0,2020-06-02
39.0,-123.75,0.02,2020-06-02
39.0,-123.125,0.0,2020-06-02
39.0,-122.5,0.0,2020-06-02
39.0,-121.875,0.0,2020-06-02
39.0,-121.25,0.03,2020-06-02
39.0,-120.625,0.14,2020-06-02
39.0,-120.0,0.09,2020-06-02
39.5,-124.375,0.01,2020-06-02
39.5,-123.75,0.07,2020-06-02
39.5,-123.125,0.05,2020-06-02
39.5,-122.5,0.0,2020-06-02
39.5,-121.875,0.0,2020-06-02
39.5,-121.25,0.04,2020-06-02
39.5,-120.625,0.22,2020-06-02
39.5,-120.0,0.17,2020-06-02
40.0,-124.375,0.01,2020-06-02
40.0,-123.75,0.05,2020-06-02
40.0,-123.125,0.03,2020-06-02
40.0,-122.5,0.0,2020-06-02
40.0,-121.875,0.0,2020-06-02
40.0,-121.25,0.02,2020-06-02
40.0,-120.625,0.1,2020-06-02
40.0,-120.0,0.11,2020-06-02
40.5,-124.375,0.0,2020-06-02
40.5,-123.75,0.01,2020-06-02
40.5,-123.125,0.01,2020-06-02
40.5,-122.5,0.0,2020-06-02
40.5,-121.875,0.0,2020-06-02
40.5,-121.25,0.0,2020-06-02
40.5,-120.625,0.02,2020-06-02
40.5,-120.0,0.02,2020-06-02
41.0,-124.375,0.0,2020-06-02
41.0,-123.75,0.01,2020-06-02
41.0,-123.125,0.02,2020-06-02
41.0,-122.5,0.01,2020-06-02
41.0,-121.875,0.01,2020-06-02
41.0,-121.25,0.0,2020-06-02
41.0,-120.625,0.01,2020-06-02
41.0,-120.0,0.06,2020-06-02
41.5,-124.375,0.0,2020-06-02
41.5,-123.75,0.0,2020-06-02
41.5,-123.125,0.01,2020-06-02
41.5,-122.5,0.01,2020-06-02
41.5,-121.875,0.01,2020-06-02
41.5,-121.25,0.01,2020-06-02
41.5,-120.625,0.02,2020-06-02
41.5,-120.0,0.06,2020-06-02
42.0,-124.375,0.0,2020-06-02
42.0,-123.75,0.0,2020-06-02
42.0,-123.125,0.0,2020-06-02
42.0,-122.5,0.01,2020-06-02
42.0,-121.875,0.0,2020-06-02
42.0,-121.25,0.01,2020-06-02
42.0,-120.625,0.01,2020-06-02
42.0,-120.0,0.04,2020-06-02
32.5,-119.375,0.04,2020-06-02
32.5,-118.75,0.06,2020-06-02
32.5,-118.125,0.17,2020-06-02
32.5,-117.5,0.16,2020-06-02
32.5,-116.875,0.04,2020-06-02
32.5,-116.25,0.0,2020-06-02
32.5,-115.625,0.0,2020-06-02
32.5,-115.0,0.0,2020-06-02
32.5,-114.375,0.0,2020-06-02
33.0,-119.375,0.0,2020-06-02
33.0,-118.75,0.06,2020-06-02
33.0,-118.125,0.04,2020-06-02
33.0,-117.5,0.02,2020-06-02
33.0,-116.875,0.0,2020-06-02
33.0,-116.25,0.0,2020-06-02
33.0,-115.625,0.0,2020-06-02
33.0,-115.0,0.0,2020-06-02
33.0,-114.375,0.0,2020-06-02
33.5,-119.375,0.0,2020-06-02
33.5,-118.75,0.0,2020-06-02
33.5,-118.125,0.0,2020-06-02
33.5,-117.5,0.0,2020-06-02
33.5,-116.875,0.0,2020-06-02
33.5,-116.25,0.0,2020-06-02
33.5,-115.625,0.0,2020-06-02
33.5,-115.0,0.0,2020-06-02
33.5,-114.375,0.0,2020-06-02
34.0,-119.375,0.0,2020-06-02
34.0,-118.75,0.0,2020-06-02
34.0,-118.125,0.0,2020-06-02
34.0,-117.5,0.0,2020-06-02
34.0,-116.875,0.0,2020-06-02
34.0,-116.25,0.0,2020-06-02
34.0,-115.625,0.0,2020-06-02
34.0,-115.0,0.0,2020-06-02
34.0,-114.375,0.0,2020-06-02
34.5,-119.375,0.0,2020-06-02
34.5,-118.75,0.0,2020-06-02
34.5,-118.125,0.0,2020-06-02
34.5,-117.5,0.0,2020-06-02
34.5,-116.875,0.0,2020-06-02
34.5,-116.25,0.0,2020-06-02
34.5,-115.625,0.0,2020-06-02
34.5,-115.0,0.0,2020-06-02
34.5,-114.375,0.0,2020-06-02
35.0,-119.375,0.0,2020-06-02
35.0,-118.75,0.0,2020-06-02
35.0,-118.125,0.0,2020-06-02
35.0,-117.5,0.0,2020-06-02
35.0,-116.875,0.0,2020-06-02
35.0,-116.25,0.0,2020-06-02
35.0,-115.625,0.0,2020-06-02
35.0,-115.0,0.0,2020-06-02
35.0,-114.375,0.0,2020-06-02
35.5,-119.375,0.0,2020-06-02
35.5,-118.75,0.0,2020-06-02
35.5,-118.125,0.0,2020-06-02
35.5,-117.5,0.0,2020-06-02
35.5,-116.875,0.0,2020-06-02
35.5,-116.25,0.0,2020-06-02
35.5,-115.625,0.0,2020-06-02
35.5,-115.0,0.0,2020-06-02
35.5,-114.375,0.0,2020-06-02
36.0,-119.375,0.0,2020-06-02
36.0,-118.75,0.0,2020-06-02
36.0,-118.125,0.0,2020-06-02
36.0,-117.5,0.0,2020-06-02
36.0,-116.875,0.0,2020-06-02
36.0,-116.25,0.0,2020-06-02
36.0,-115.625,0.0,2020-06-02
36.0,-115.0,0.0,2020-06-02
36.0,-114.375,0.0,2020-06-02
36.5,-119.375,0.0,2020-06-02
36.5,-118.75,0.0,2020-06-02
36.5,-118.125,0.0,2020-06-02
36.5,-117.5,0.0,2020-06-02
36.5,-116.875,0.0,2020-06-02
36.5,-116.25,0.0,2020-06-02
36.5,-115.625,0.0,2020-06-02
36.5,-115.0,0.0,2020-06-02
36.5,-114.375,0.0,2020-06-02
37.0,-119.375,0.0,2020-06-02
37.0,-118.75,0.0,2020-06-02
37.0,-118.125,0.0,2020-06-02
37.0,-117.5,0.0,2020-06-02
37.0,-116.875,0.0,2020-06-02
37.0,-116.25,0.0,2020-06-02
37.0,-115.625,0.0,2020-06-02
37.0,-115.0,0.0,2020-06-02
37.0,-114.375,0.0,2020-06-02
37.5,-119.375,0.0,2020-06-02
37.5,-118.75,0.0,2020-06-02
37.5,-118.125,0.0,2020-06-02
37.5,-117.5,0.0,2020-06-02
37.5,-116.875,0.0,2020-06-02
37.5,-116.25,0.0,2020-06-02
37.5,-115.625,0.0,2020-06-02
37.5,-115.0,0.0,2020-06-02
37.5,-114.375,0.0,2020-06-02
38.0,-119.375,0.0,2020-06-02
38.0,-118.75,0.0,2020-06-02
38.0,-118.125,0.0,2020-06-02
38.0,-117.5,0.0,2020-06-02
38.0,-116.875,0.0,2020-06-02
38.0,-116.25,0.0,2020-06-02
38.0,-115.625,0.0,2020-06-02
38.0,-115.0,0.0,2020-06-02
38.0,-114.375,0.0,2020-06-02
38.5,-119.375,0.0,2020-06-02
38.5,-118.75,0.0,2020-06-02
38.5,-118.125,0.0,2020-06-02
38.5,-117.5,0.0,2020-06-02
38.5,-116.875,0.0,2020-06-02
38.5,-116.25,0.0,2020-06-02
38.5,-115.625,0.0,2020-06-02
38.5,-115.0,0.0,2020-06-02
38.5,-114.375,0.0,2020-06-02
39.0,-119.375,0.01,2020-06-02
39.0,-118.75,0.0,2020-06-02
39.0,-118.125,0.0,2020-06-02
39.0,-117.5,0.0,2020-06-02
39.0,-116.875,0.0,2020-06-02
39.0,-116.25,0.0,2020-06-02
39.0,-115.625,0.0,2020-06-02
39.0,-115.0,0.0,2020-06-02
39.0,-114.375,0.0,2020-06-02
39.5,-119.375,0.02,2020-06-02
39.5,-118.75,0.0,2020-06-02
39.5,-118.125,0.0,2020-06-02
39.5,-117.5,0.0,2020-06-02
39.5,-116.875,0.0,2020-06-02
39.5,-116.25,0.0,2020-06-02
39.5,-115.625,0.0,2020-06-02
39.5,-115.0,0.0,2020-06-02
39.5,-114.375,0.0,2020-06-02
40.0,-119.375,0.02,2020-06-02
40.0,-118.75,0.0,2020-06-02
40.0,-118.125,0.0,2020-06-02
40.0,-117.5,0.0,2020-06-02
40.0,-116.875,0.0,2020-06-02
40.0,-116.25,0.0,2020-06-02
40.0,-115.625,0.0,2020-06-02
40.0,-115.0,0.0,2020-06-02
40.0,-114.375,0.0,2020-06-02
40.5,-119.375,0.03,2020-06-02
40.5,-118.75,0.03,2020-06-02
40.5,-118.125,0.01,2020-06-02
40.5,-117.5,0.0,2020-06-02
40.5,-116.875,0.0,2020-06-02
40.5,-116.25,0.0,2020-06-02
40.5,-115.625,0.0,2020-06-02
40.5,-115.0,0.0,2020-06-02
40.5,-114.375,0.0,2020-06-02
41.0,-119.375,0.1,2020-06-02
41.0,-118.75,0.08,2020-06-02
41.0,-118.125,0.03,2020-06-02
41.0,-117.5,0.0,2020-06-02
41.0,-116.875,0.0,2020-06-02
41.0,-116.25,0.0,2020-06-02
41.0,-115.625,0.02,2020-06-02
41.0,-115.0,0.01,2020-06-02
41.0,-114.375,0.01,2020-06-02
41.5,-119.375,0.06,2020-06-02
41.5,-118.75,0.05,2020-06-02
41.5,-118.125,0.02,2020-06-02
41.5,-117.5,0.03,2020-06-02
41.5,-116.875,0.06,2020-06-02
41.5,-116.25,0.04,2020-06-02
41.5,-115.625,0.09,2020-06-02
41.5,-115.0,0.17,2020-06-02
41.5,-114.375,0.07,2020-06-02
42.0,-119.375,0.06,2020-06-02
42.0,-118.75,0.07,2020-06-02
42.0,-118.125,0.02,2020-06-02
42.0,-117.5,0.08,2020-06-02
42.0,-116.875,0.3,2020-06-02
42.0,-116.25,0.56,2020-06-02
42.0,-115.625,0.59,2020-06-02
42.0,-115.0,0.36,2020-06-02
42.0,-114.375,0.13,2020-06-02
32.5,-124.375,0.31,2020-06-03
32.5,-123.75,0.15,2020-06-03
32.5,-123.125,0.17,2020-06-03
32.5,-122.5,0.26,2020-06-03
32.5,-121.875,0.33,2020-06-03
32.5,-121.25,0.28,2020-06-03
32.5,-120.625,0.35,2020-06-03
32.5,-120.0,0.35,2020-06-03
33.0,-124.375,0.38,2020-06-03
33.0,-123.75,0.23,2020-06-03
33.0,-123.125,0.16,2020-06-03
33.0,-122.5,0.12,2020-06-03
33.0,-121.875,0.12,2020-06-03
33.0,-121.25,0.08,2020-06-03
33.0,-120.625,0.06,2020-06-03
33.0,-120.0,0.02,2020-06-03
33.5,-124.375,0.36,2020-06-03
